"","Opération","Division","Description","Designation","TypeUnité","TypeProduit","NombreUnité","StatutADV","Superficie","PrixUnitaire","PrixTotal","NuméroClient","Client","Dossier","TypeDocument","DésignationTypeDeDocument","Création","Vers1","Vers2","Vers3","TotalVersement","VersRegularis","TropPerçuRéglé","TropPerçuNonRéglé","ResteàPayer","TotalAvances"
"3662","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,2,120,950,114000,"11037592","Myriam Gilbert","21625427","ZVL ","Vente libre         ",2018-03-27,57000,0,0,57000,0,0,0,57000,57000
"45","180018.01",1804,"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",1,2,200,750,150000,"11125736","Alexa Geerling","21747441","ZVL ","Vente libre         ",2021-04-22,150000,0,0,150000,0,0,0,0,150000
"4454","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,162,2310,374220,"10655462","Delcine Gillease","21487755","ZVL ","Vente libre         ",2017-01-09,90000,90000,156798,336798,0,0,0,37422,336798
"2559","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10628081","Adoree Pena","21216188","ZVL ","Vente libre         ",2013-09-13,14700,14700,14700,44100,0,0,0,11900,44100
"305","180115.01",1803,"Nador - Driouch               ","19261-AL OUROUD  LS TR2 A Al Aruit      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",1,2,68,4408.86,299802.8,"10623145","Eberhard Dresse","21479085","ZVL ","Vente libre         ",2016-07-26,50000,0,0,50000,0,0,0,249802.8,50000
"5774","180438.01",1802,"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",1,2,116,1600,185600,"11035379","Allissa Van Der Weedenburg","21623921","ZVL ","Vente libre         ",2018-03-07,74240,0,0,74240,0,0,0,111360,74240
"5351","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,176,2200,387200,"11018079","Gladi Kingsbury","21612523","ZVL ","Vente libre         ",2017-09-04,116160,96800,96800,309760,0,0,0,77440,309760
"309","180115.01",1803,"Nador - Driouch               ","19261-AL OUROUD  LS TR2 A Al Aruit      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",1,2,68,4408.92,299806.31,"11048452","Mara Adshead","21631086","ZVL ","Vente libre         ",2018-07-23,70000,0,0,70000,0,0,0,229806.31,70000
"7021","180630.02",1804,"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,830,83000,"11125421","Lambert Masdin","21747320","ZVL ","Vente libre         ",2021-04-20,24900,0,0,24900,0,0,0,58100,24900
"2496","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,880,61600,"10613699","Jarrid Fender","21217958","ZVL ","Vente libre         ",2013-09-13,19600,19600,19600,58800,0,0,0,2800,58800
"2803","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10628700","Ogdon Heinsius","21211801","ZVL ","Vente libre         ",2013-09-12,14700,14700,0,29400,0,0,0,26600,29400
"510","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1850,185000,"10586633","Gilemette Semble","21633550","ZVL ","Vente libre         ",2018-09-14,62000,0,0,62000,0,0,0,123000,62000
"4012","180403.02",1803,"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,3,146,2500,365000,"10560427","Abeu Mothersole","21226512","ZVL ","Vente libre         ",2013-06-28,70000,0,0,70000,0,0,0,295000,70000
"6329","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11055706","Kathe O'Noulane","21636080","ZVL ","Vente libre         ",2018-10-22,36000,36000,48000,120000,0,0,0,0,120000
"6836","180621.02",1802,"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,2,94,5904.26,555000,"11054669","Petronia Call","21635379","ZVL ","Vente libre         ",2018-10-10,222000,166500,0,388500,0,0,0,166500,388500
"2892","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,123,1210,148830,"10574642","Murvyn Lattimer","21222501","ZVL ","Vente libre         ",2013-09-16,42570,42570,42570,127710,0,0,0,21120,127710
"5479","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,200.5,2300,461150,"11101390","Lorna Sharphurst","21732410","ZVL ","Vente libre         ",2020-06-02,154000,153150,0,307150,0,0,0,154000,307150
"5544","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,192.2,2300,442060,"11016966","Demetri Tapton","21611955","ZVL ","Vente libre         ",2017-08-22,132618,40000,0,172618,0,0,0,269442,172618
"6070","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,109,1850,201650,"11060028","Hardy Newens","21639204","ZVL ","Vente libre         ",2018-12-17,60495,60495,80660,201650,0,0,0,0,201650
"2365","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",1,2,440,1750,770000,"11018487","Sterne Nolan","21612841","ZVL ","Vente libre         ",2017-09-11,192500,192500,372500,757500,0,0,0,12500,757500
"3853","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,192,1207.5,231840,"11081887","Beatrisa Merrell","21660943","ZVL ","Vente libre         ",2019-08-02,115920,57960,0,173880,0,0,0,57960,173880
"5631","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,245.8,2650,651370,"10658313","Kori Bretherton","21731987","ZVL ","Vente libre         ",2020-04-30,150000,0,0,150000,0,0,0,501370,150000
"2705","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10593676","Bentley Bullough","21362417","ZVL ","Vente libre         ",2013-11-12,14700,14700,14700,44100,0,0,0,11900,44100
"286","180104.01",1802,"Berkane                       ","25011-BOUGHRIBA                         ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,143,873.6,124924.5,"10591205","Elke Seakin","21217421","ZVL ","Vente libre         ",2012-10-01,49617.9,37213.43,0,86831.33,0,0,0,38093.17,86831.33
"638","180166.02",1803,"Nador - Driouch               ","8342-ARROCHD MS SELOUANE PART B         ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,2,120,5350,642000,"10633682","Gnni Bielfeld","21226001","ZVL ","Vente libre         ",2016-05-04,150000,0,0,150000,0,0,0,492000,150000
"6263","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053205","Christine Stutte","21634365","ZVL ","Vente libre         ",2018-09-27,36000,36000,0,72000,0,0,0,48000,72000
"930","180254.01",1804,"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",1,2,156,500,78000,"11075638","Tito Booth","23193431","ZAF ","Vente Affectation   ",2020-05-06,39000,39000,0,78000,0,0,0,0,78000
"499","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,132,1825,240900,"11055722","Fernanda Knowling","21636015","ZVL ","Vente libre         ",2018-10-22,60225,60225,60225,180675,0,0,0,60225,180675
"2165","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,3,126,1000,126000,"10629029","Kassey Sydes","21237132","ZVL ","Vente libre         ",2015-10-09,31500,31500,31500,94500,0,0,0,31500,94500
"1413","180304.01",1804,"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,2,140,480,67200,"11017384","Blaine Dyhouse","21612109","ZVL ","Vente libre         ",2017-08-24,26880,20160,20160,67200,0,0,0,0,67200
"2405","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10611472","Keelia Gonthard","21213306","ZVL ","Vente libre         ",2014-08-19,14000,14000,12000,40000,0,0,0,16000,40000
"642","180170.01",1801,"Agence Oujda                  ","24311-SALAM EXTENSION                   ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,3,100,270,27000,"10582323","Saxon Congram","21225911","ZVL ","Vente libre         ",1988-03-09,12000,12000,0,24000,0,0,0,3000,24000
"5321","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,147,2150,316050,"11015630","Scot Belasco","21610743","ZVL ","Vente libre         ",2017-08-04,94815,79012.5,0,173827.5,0,0,0,142222.5,173827.5
"1805","180387.01",1805,"Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,2,95,470,44650,"10620271","Chelsey Bein","21244982","ZVL ","Vente libre         ",1995-05-03,0,0,0,0,0,0,0,44650,0
"6702","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11052950","Ned Doudny","21743195","ZVL ","Vente libre         ",2021-01-18,36000,0,0,36000,0,0,0,84000,36000
