Opération	Division	Description	Designation	Type unité	Type produit	Nombre unité	Statut ADV	N° Lot	Superficie	Prix unitaire	Prix total	Titre foncier	Numéro Client	Client	CIN/RC	Dossier	Type document	Désignation type de document	Création	Vers1	Vers2	Vers3	Total versement	Date livraison	Date contrat	Vers regularis	Trop perçu réglé	Trop perçu non réglé	Reste à payer	Total avances	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-149           	14	16428.57	230000	47410/40            	10944345	Carolee Copins	FA35270	21657224	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-152           	14	8571.43	120000	47413/40            	10622637	Danice Toderi	FE1003	21212546	ZVL 	Vente libre         	20141222	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-143           	14	8571.43	120000	47404/40            	10625355	Sandy Ygoe	F342686	21229042	ZVL 	Vente libre         	20150514	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	3	CC2-142           	14	8571.43	120000	47403/40            	10630080	Minor Utley	F231332	21234500	ZVL 	Vente libre         	20150304	40000	0	0	40000	0	0	0	0	0	80000	40000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-136           	14	8571.43	120000	47397/40            	10625927	Elna Bartul	F89695	21241181	ZVL 	Vente libre         	20150625	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-138           	14	8571.43	120000	47399/40            	10625927	Lucie Fraser	F89695	21241184	ZVL 	Vente libre         	20150625	0	0	0	0	0	0	0	0	0	120000	0	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-140           	14	16428.57	230000	47401/40            	11074481	Mildrid Gelly	FA11163	21657226	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-128           	14	16428.57	230000	47389/40            	10630313	Truda Finlater	C775591	21361639	ZVL 	Vente libre         	20150707	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	2	CC2-45            	13	17692.31	230000	47306/40            	11074406	Janeen Posen	FA22274	21657229	ZVL 	Vente libre         	20190503	50000	0	0	50000	0	0	0	0	0	180000	50000	
180011.01	1802	Berkane                       	5381-C COM SAIDIA                       	CONSTRUCTION USAGE COMM. 	CONSTR LOCAUX COMMERCIAUX               	1	3	CC2-47            	13	17692.31	230000	47308/40            	10629298	Annadiana Chase	F256991	21214343	ZVL 	Vente libre         	20150708	30000	50000	0	80000	0	0	0	0	0	150000	80000	
